nrow,ncol,filter_col,filter_col2,filter_col3,select_col,select_col2,select_col3,filter_row,select_row
10,10,0.0001850128173828125,0.00013327598571777344,0.0001239776611328125,2.002716064453125e-05,1.5974044799804688e-05,0.19303679466247559,0.0003108978271484375,7.200241088867188e-05
50,50,0.0013289451599121094,0.0012698173522949219,0.0012590885162353516,5.2928924560546875e-05,4.7206878662109375e-05,0.17035198211669922,0.0011379718780517578,0.0006227493286132812
100,100,0.004865884780883789,0.004660129547119141,0.00456690788269043,0.00010132789611816406,9.012222290039062e-05,0.1772010326385498,0.0038101673126220703,0.0022170543670654297
500,500,0.10865616798400879,0.11061310768127441,0.10673999786376953,0.0004138946533203125,0.00040435791015625,0.9792201519012451,0.07645177841186523,0.04758596420288086
1000,1000,0.4431910514831543,0.44231104850769043,0.4340240955352783,0.0008168220520019531,0.0007958412170410156,7.406048774719238,0.3074350357055664,0.1933591365814209
